#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,41589.90,61908.12,28539.80,-6117.72,32571.82,-6974.42,35326.89,-7560.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41589.90,61908.12,None,171180.59,171180.59
Swap_20y,CPTY_A,41589.90,61908.12,28539.80,-6117.72,32571.82,-6974.42,35326.89,-7560.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,171180.59,171180.59
