#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
86,0.879116,1.240441,-0.002709,0.008166,0.002112,3026793.519686,0.000000,3035535.079094,3046332.665076,-352418.251778,3274391.984749
87,0.879733,1.217079,-0.001289,0.007363,0.008994,3039142.705853,0.000000,3035535.079094,3046332.665076,-1498678.290105,3274391.984749
88,0.879788,1.214455,-0.000870,0.009881,0.005826,3004700.850635,3046210.670743,3035535.079094,3046332.665076,-1302843.204481,3274391.984749
89,0.879808,1.225705,-0.000069,0.009812,0.002769,2923959.618521,3046210.239892,3035535.079094,3046332.665076,-835318.912574,3274391.984749
90,0.880292,1.196601,0.002730,0.007872,0.003574,2537887.407584,3046199.884766,3035535.079094,3046332.665076,-430201.391757,3274391.984749
91,0.881013,1.267462,0.001770,0.010490,0.010220,3374913.974791,3046184.447662,3035535.079094,3046332.665076,16882.227270,3274391.984749
92,0.881581,1.239071,-0.001266,0.007433,0.008766,3155480.716372,0.000000,3035535.079094,3046332.665076,-2740912.770624,3274391.984749
93,0.881763,1.164134,-0.004431,0.006015,0.010220,2821535.581616,3046168.391120,3035535.079094,3046332.665076,898541.207521,3274391.984749
94,0.882329,1.222784,0.002891,0.009753,0.009881,3032228.600014,3046156.271926,3035535.079094,3046332.665076,1725269.827010,3274391.984749
95,0.882550,1.214903,-0.004116,0.008465,0.004031,3002759.613971,3046151.550596,3035535.079094,3046332.665076,-2507160.241902,3274391.984749
96,0.882574,1.230847,-0.000535,0.008151,0.006995,3044030.827188,3046151.036855,3035535.079094,3046332.665076,4476.541834,3274391.984749
97,0.882868,1.263844,0.000206,0.008003,0.009858,3294657.778102,0.000000,3035535.079094,3046332.665076,-1321856.754704,3274391.984749
98,0.882957,1.178154,-0.003784,0.009001,0.005919,2855625.462820,3046142.828862,3035535.079094,3046332.665076,163694.642944,3274391.984749
99,0.882994,1.262145,0.000140,0.010412,0.008322,3335549.248621,0.000000,3035535.079094,3046332.665076,786526.991125,3274391.984749
100,0.883300,1.231095,-0.002098,0.008058,0.004690,3019791.114348,0.000000,3035535.079094,3046332.665076,1098583.435916,3274391.984749
101,0.883433,1.194398,-0.003972,0.010156,0.005553,3002073.425852,3046132.643333,3035535.079094,3046332.665076,-1051427.214038,3274391.984749
102,0.883853,1.216676,-0.001465,0.011048,0.007715,3146720.559947,3046123.657039,3035535.079094,3046332.665076,-328685.988334,3274391.984749
103,0.884484,1.244774,0.001765,0.008413,0.005149,2971102.364226,0.000000,3035535.079094,3046332.665076,-2469439.431191,3274391.984749
104,0.884637,1.233920,-0.003370,0.008561,0.008641,3241795.596786,3046106.868866,3035535.079094,3046332.665076,625480.379145,3274391.984749
105,0.884926,1.271024,0.000741,0.005912,0.003026,2979789.594555,0.000000,3035535.079094,3046332.665076,-77963.954710,3274391.984749
106,0.885145,1.198977,-0.002308,0.005755,0.008447,2857702.327706,0.000000,3035535.079094,3046332.665076,-877147.503018,3274391.984749
107,0.885218,1.200523,-0.002160,0.004858,0.006781,2752632.380065,0.000000,3035535.079094,3046332.665076,2173263.135052,3274391.984749
108,0.885377,1.223954,-0.000831,0.008409,0.009639,3111258.424086,3046091.042186,3035535.079094,3046332.665076,92541.039264,3274391.984749
109,0.885518,1.195435,-0.000236,0.003908,0.000112,2279112.160609,3046088.011747,3035535.079094,3046332.665076,460620.030575,3274391.984749
110,0.885793,1.267201,-0.000270,0.011889,0.005713,3344272.147528,0.000000,3035535.079094,3046332.665076,-1517164.615168,3274391.984749
111,0.886754,1.181414,0.000331,0.007940,0.006845,2662130.668057,3046061.568711,3035535.079094,3046332.665076,770819.388138,3274391.984749
112,0.887166,1.274444,-0.000756,0.011362,0.007234,3424519.931452,3046052.750325,3035535.079094,3046332.665076,7710.871512,3274391.984749
113,0.887222,1.241333,-0.000031,0.007581,0.007920,3077609.072596,0.000000,3035535.079094,3046332.665076,384695.344971,3274391.984749
114,0.887359,1.173862,0.000384,0.007213,0.002958,2396132.343470,0.000000,3035535.079094,3046332.665076,64215.960885,3274391.984749
115,0.887443,1.190273,-0.000094,0.001481,0.005624,2340388.796728,0.000000,3035535.079094,3046332.665076,481582.199765,3274391.984749
116,0.887845,1.198516,-0.001219,0.005201,0.005794,2663484.520431,0.000000,3035535.079094,3046332.665076,-317086.086101,3274391.984749
117,0.887869,1.245118,-0.005282,0.006122,0.004620,3127517.181997,3046037.701808,3035535.079094,3046332.665076,-3678076.549889,3274391.984749
118,0.888792,1.296053,-0.000143,0.008805,0.004918,3335130.300726,3046017.939988,3035535.079094,3046332.665076,1361448.295874,3274391.984749
119,0.889289,1.237437,-0.001044,0.007123,0.004967,2961431.650592,0.000000,3035535.079094,3046332.665076,-448095.976292,3274391.984749
120,0.890349,1.252432,0.001031,0.012899,0.011970,3445864.386496,3045984.622760,3035535.079094,3046332.665076,-3277314.452090,3274391.984749
121,0.890540,1.199476,-0.002910,0.005088,0.006789,2771219.068328,3045980.535617,3035535.079094,3046332.665076,1811845.458228,3274391.984749
122,0.890745,1.244482,0.004616,0.012255,0.012731,3267968.526420,3045976.158722,3035535.079094,3046332.665076,1222427.278066,3274391.984749
123,0.890862,1.257375,0.002919,0.010954,0.010333,3269206.759825,3045973.650210,3035535.079094,3046332.665076,-1056001.303706,3274391.984749
124,0.890971,1.203497,0.002667,0.008906,0.005273,2671702.684469,0.000000,3035535.079094,3046332.665076,397854.483380,3274391.984749
125,0.891069,1.217779,-0.000868,0.006829,0.006022,2851206.405687,3045969.222075,3035535.079094,3046332.665076,2142881.412262,3274391.984749
126,0.891212,1.279681,-0.000922,0.005756,0.009346,3288366.209091,0.000000,3035535.079094,3046332.665076,763254.371356,3274391.984749
127,0.891398,1.250848,-0.004182,0.010407,0.007168,3370931.368769,3045962.173470,3035535.079094,3046332.665076,-1627666.330022,3274391.984749
128,0.892111,1.223531,0.000975,0.004213,0.005935,2670015.493801,3045946.925925,3035535.079094,3046332.665076,1064692.429078,3274391.984749
129,0.892350,1.211127,0.000847,0.007226,0.006701,2773558.884430,0.000000,3035535.079094,3046332.665076,-1231036.177002,3274391.984749
130,0.893012,1.228139,0.001116,0.009630,0.009608,3084745.549909,0.000000,3035535.079094,3046332.665076,-2544117.254357,3274391.984749
131,0.893270,1.183491,0.001094,0.000674,0.007779,2251334.359159,0.000000,3035535.079094,3046332.665076,-907172.563429,3274391.984749
132,0.893349,1.214687,0.001663,0.006615,0.007567,2760683.741959,0.000000,3035535.079094,3046332.665076,402274.638873,3274391.984749
133,0.893446,1.241957,-0.000915,0.012258,0.005947,3228722.919838,3045918.354457,3035535.079094,3046332.665076,-775478.027249,3274391.984749
134,0.893523,1.173833,0.000750,0.006464,0.011198,2668126.275137,0.000000,3035535.079094,3046332.665076,358619.407247,3274391.984749
135,0.893623,1.284100,-0.000588,0.007445,0.001993,3113417.700554,3045914.571323,3035535.079094,3046332.665076,-924835.735802,3274391.984749
136,0.893930,1.238858,0.000266,0.008846,0.011206,3198695.059429,0.000000,3035535.079094,3046332.665076,-317138.228271,3274391.984749
137,0.894067,1.240858,0.005659,0.009176,0.010318,2976239.748648,3045905.073545,3035535.079094,3046332.665076,338270.466780,3274391.984749
138,0.895109,1.237403,0.000237,0.011708,0.007934,3197549.246470,3045882.782550,3035535.079094,3046332.665076,-363383.293761,3274391.984749
139,0.895382,1.258724,-0.004083,0.005901,0.003880,3098297.712089,0.000000,3035535.079094,3046332.665076,682141.781093,3274391.984749
140,0.895754,1.204181,-0.003453,0.006227,0.004781,2783521.046965,0.000000,3035535.079094,3046332.665076,-20631.919962,3274391.984749
141,0.895930,1.186404,0.000104,0.008979,0.004518,2628377.270432,3045865.210286,3035535.079094,3046332.665076,1306335.726460,3274391.984749
142,0.896785,1.210869,0.000519,0.006987,0.006942,2767881.955565,0.000000,3035535.079094,3046332.665076,-1119800.155592,3274391.984749
143,0.896858,1.207987,0.001343,0.010690,0.008338,2943071.016953,3045845.357119,3035535.079094,3046332.665076,423648.247600,3274391.984749
144,0.897111,1.194922,-0.000447,0.008017,0.006811,2751043.000268,0.000000,3035535.079094,3046332.665076,1192259.852541,3274391.984749
145,0.897205,1.258538,-0.004594,0.008375,0.006632,3309853.607241,3045837.932754,3035535.079094,3046332.665076,-180652.910080,3274391.984749
146,0.897454,1.264000,0.001194,0.004960,0.009534,3068763.639820,3045832.614300,3035535.079094,3046332.665076,-755814.759502,3274391.984749
147,0.897575,1.248466,-0.000544,0.009883,0.003356,3044976.872204,0.000000,3035535.079094,3046332.665076,677379.905432,3274391.984749
148,0.897589,1.235598,-0.001935,0.006198,0.005562,2938130.684844,3045829.724618,3035535.079094,3046332.665076,-987152.007924,3274391.984749
149,0.898023,1.211371,-0.002885,0.007311,0.004812,2849800.253158,0.000000,3035535.079094,3046332.665076,867905.138082,3274391.984749
150,0.898088,1.270094,-0.005457,0.005796,0.001399,3118606.639131,0.000000,3035535.079094,3046332.665076,-94698.963850,3274391.984749
151,0.898594,1.209113,-0.000717,0.006566,0.004377,2681889.913750,3045808.221866,3035535.079094,3046332.665076,-234207.034436,3274391.984749
152,0.898707,1.290976,-0.003110,0.005237,0.007723,3333947.376821,3045805.796221,3035535.079094,3046332.665076,-3719523.787630,3274391.984749
153,0.898982,1.277089,-0.001526,0.006812,0.006451,3219321.565337,3045799.907005,3035535.079094,3046332.665076,-159670.594011,3274391.984749
154,0.899851,1.263903,-0.002169,0.008348,0.004959,3181161.695735,3045781.334443,3035535.079094,3046332.665076,-1315006.786289,3274391.984749
155,0.900072,1.217201,-0.001897,0.006124,0.006691,2851822.898685,0.000000,3035535.079094,3046332.665076,976602.322834,3274391.984749
156,0.900260,1.257842,-0.004242,0.003426,0.006873,3080300.667179,3045772.571547,3035535.079094,3046332.665076,-1595096.838961,3274391.984749
157,0.900612,1.275646,0.000863,0.007851,0.010292,3287324.463476,0.000000,3035535.079094,3046332.665076,-669348.585248,3274391.984749
158,0.900749,1.200230,0.002104,0.006820,0.010906,2760730.973391,0.000000,3035535.079094,3046332.665076,-277714.035209,3274391.984749
159,0.900934,1.189675,-0.001666,0.009988,0.010333,2984463.770317,3045758.154208,3035535.079094,3046332.665076,-440221.735957,3274391.984749
160,0.901455,1.275992,-0.001350,0.008909,0.007413,3317999.554934,3045747.024261,3035535.079094,3046332.665076,3321803.239758,3274391.984749
161,0.902093,1.247977,0.000464,0.014356,0.008235,3345390.684462,0.000000,3035535.079094,3046332.665076,27459.265989,3274391.984749
162,0.902392,1.289911,0.003511,0.007309,0.004519,3036483.035250,3045726.975989,3035535.079094,3046332.665076,-2021666.520821,3274391.984749
163,0.902400,1.209620,-0.000603,0.006210,0.006807,2745567.065430,0.000000,3035535.079094,3046332.665076,-1435542.963053,3274391.984749
164,0.902419,1.223833,0.002801,0.006777,0.007076,2723903.873706,3045726.390719,3035535.079094,3046332.665076,1299256.708058,3274391.984749
165,0.902420,1.153459,0.006164,0.005584,0.011450,2161241.606178,3045726.378569,3035535.079094,3046332.665076,-1307769.777762,3274391.984749
166,0.902542,1.227173,0.000716,0.008340,0.009979,3018956.654879,3045723.768465,3035535.079094,3046332.665076,-735252.482292,3274391.984749
167,0.902642,1.228945,0.000387,0.010745,0.007683,3067486.583603,0.000000,3035535.079094,3046332.665076,696023.928044,3274391.984749
168,0.902732,1.258811,-0.000094,0.005790,0.006694,3007563.088601,3045719.707767,3035535.079094,3046332.665076,1198505.368981,3274391.984749
169,0.903616,1.265884,-0.001916,0.008279,0.002636,3086255.132511,0.000000,3035535.079094,3046332.665076,1869055.642176,3274391.984749
170,0.903885,1.280533,0.001964,0.007737,0.006834,3139455.310626,3045695.038614,3035535.079094,3046332.665076,-1689219.130233,3274391.984749
171,0.904391,1.215234,0.002129,0.007982,0.007850,2780482.904952,0.000000,3035535.079094,3046332.665076,128400.295511,3274391.984749
172,0.904812,1.272978,0.000599,0.002623,0.002840,2764247.219623,0.000000,3035535.079094,3046332.665076,-388134.000532,3274391.984749
173,0.905406,1.258100,-0.003982,0.006692,0.005703,3155674.235149,3045662.496903,3035535.079094,3046332.665076,-1425318.238221,3274391.984749
174,0.905560,1.258950,0.000116,0.011003,0.009879,3324401.822230,0.000000,3035535.079094,3046332.665076,-1585856.538720,3274391.984749
175,0.905710,1.199092,0.003392,0.008326,0.006529,2571303.415341,0.000000,3035535.079094,3046332.665076,-451833.521894,3274391.984749
176,0.906283,1.240244,-0.004161,0.011251,0.010624,3413492.538869,3045643.750812,3035535.079094,3046332.665076,-509433.025508,3274391.984749
177,0.907100,1.235569,0.000965,0.009253,0.007609,2998751.988989,0.000000,3035535.079094,3046332.665076,-50316.864351,3274391.984749
178,0.907251,1.185076,-0.000801,0.006215,0.007248,2587915.658910,3045623.050850,3035535.079094,3046332.665076,1409746.102078,3274391.984749
179,0.908302,1.242032,-0.001231,0.008673,0.008967,3144122.326754,0.000000,3035535.079094,3046332.665076,-279223.828411,3274391.984749
180,0.909163,1.211295,-0.001946,0.009261,0.006296,2917175.915174,0.000000,3035535.079094,3046332.665076,3576240.810520,3274391.984749
181,0.910216,1.201908,-0.002677,0.004977,0.002752,2528296.274524,0.000000,3035535.079094,3046332.665076,-346243.668692,3274391.984749
182,0.910728,1.222710,-0.000820,0.009303,0.009395,3049508.746757,3045548.688085,3035535.079094,3046332.665076,544096.827487,3274391.984749
183,0.910987,1.323684,-0.001880,0.004176,0.010462,3471302.639969,0.000000,3035535.079094,3046332.665076,1680114.863363,3274391.984749
184,0.911037,1.252584,0.005500,0.006766,0.008209,2802988.992400,0.000000,3035535.079094,3046332.665076,1712393.575342,3274391.984749
185,0.911649,1.259914,-0.001752,0.007079,0.007386,3132803.057027,0.000000,3035535.079094,3046332.665076,38697.117986,3274391.984749
186,0.913432,1.202067,-0.003596,0.008837,0.008251,2968046.206871,3045490.868318,3035535.079094,3046332.665076,865320.810723,3274391.984749
187,0.914207,1.215892,0.001794,0.010526,0.009733,2956048.540566,0.000000,3035535.079094,3046332.665076,-234061.615313,3274391.984749
188,0.914387,1.196296,0.001270,0.011936,0.004860,2733896.131335,3045470.456983,3035535.079094,3046332.665076,99602.873203,3274391.984749
189,0.915397,1.256259,-0.001278,0.006414,0.006967,3035692.585263,0.000000,3035535.079094,3046332.665076,-545927.277043,3274391.984749
190,0.916677,1.210276,-0.001424,0.009291,0.006357,2865280.898258,3045421.492699,3035535.079094,3046332.665076,1355291.867903,3274391.984749
191,0.916768,1.194061,-0.003643,0.005528,0.005190,2625931.605017,3045419.548643,3035535.079094,3046332.665076,-34899.415685,3274391.984749
192,0.917943,1.221572,-0.002817,0.008089,0.008966,3030119.002683,3045394.426615,3035535.079094,3046332.665076,-106844.193874,3274391.984749
193,0.918341,1.225751,-0.003801,0.009537,0.004874,3011421.356737,3045385.932077,3035535.079094,3046332.665076,869708.023278,3274391.984749
194,0.921268,1.239556,0.000590,0.005387,0.000571,2519969.442069,0.000000,3035535.079094,3046332.665076,2019012.869414,3274391.984749
195,0.921397,1.201295,-0.006123,0.008647,0.008758,3050220.360231,3045320.592447,3035535.079094,3046332.665076,-947391.088936,3274391.984749
