#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,31982.61,44655.42,21067.23,-4923.52,22807.80,-5332.11,23934.52,-5597.81,-2908.92,0.00,0.00,0.00,0.00,0.00,-217641.32,31982.61,44655.42,Marginal,773809.43,1201507.37
Swap_1,CPTY_A,115600.23,195399.71,92741.96,-17757.87,99344.91,-19272.62,103575.06,-20248.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24901.20,23890.40,Marginal,846213.66,847356.77
Swap_3,CPTY_A,71850.58,89409.57,42501.29,-11351.86,45413.89,-11977.16,47257.32,-12370.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3311.27,7746.13,Marginal,1888493.89,1907478.85
Swap_2,CPTY_A,67746.80,97925.51,46173.07,-10608.70,50047.78,-11293.63,52535.81,-11730.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3770.13,13018.89,Marginal,1584667.30,1619077.06
